"task 0, stage 0, rank from 0, rank to 1, color 9",
"task 0, stage 0, rank from 1, rank to 0, color 13",
"task 0, stage 0, rank from 2, rank to 3, color 5",
"task 0, stage 0, rank from 3, rank to 2, color 13",
"task 0, stage 0, rank from 4, rank to 5, color 8",
"task 0, stage 0, rank from 5, rank to 4, color 5",
"task 0, stage 0, rank from 6, rank to 7, color 6",
"task 0, stage 0, rank from 7, rank to 6, color 6",
"task 0, stage 0, rank from 8, rank to 9, color 7",
"task 0, stage 0, rank from 9, rank to 8, color 7",
"task 0, stage 0, rank from 10, rank to 11, color 9",
"task 0, stage 0, rank from 11, rank to 10, color 12",
"task 0, stage 0, rank from 14, rank to 15, color 8",
"task 0, stage 0, rank from 15, rank to 14, color 21",
"task 0, stage 0, rank from 16, rank to 17, color 16",
"task 0, stage 0, rank from 17, rank to 16, color 23",
"task 0, stage 0, rank from 18, rank to 19, color 14",
"task 0, stage 0, rank from 19, rank to 18, color 9",
"task 0, stage 0, rank from 20, rank to 21, color 13",
"task 0, stage 0, rank from 21, rank to 20, color 8",
"task 0, stage 0, rank from 22, rank to 23, color 10",
"task 0, stage 0, rank from 23, rank to 22, color 13",
"task 0, stage 0, rank from 24, rank to 25, color 21",
"task 0, stage 0, rank from 25, rank to 24, color 18",
"task 0, stage 0, rank from 26, rank to 27, color 14",
"task 0, stage 0, rank from 27, rank to 26, color 9",
"task 0, stage 0, rank from 28, rank to 29, color 22",
"task 0, stage 0, rank from 29, rank to 28, color 19",
"task 0, stage 0, rank from 36, rank to 37, color 14",
"task 0, stage 0, rank from 37, rank to 36, color 10",
"task 0, stage 0, rank from 38, rank to 39, color 10",
"task 0, stage 0, rank from 39, rank to 38, color 15",
"task 0, stage 0, rank from 40, rank to 41, color 23",
"task 0, stage 0, rank from 41, rank to 40, color 20",
"task 0, stage 0, rank from 42, rank to 43, color 17",
"task 0, stage 0, rank from 43, rank to 42, color 24",
"task 0, stage 0, rank from 48, rank to 49, color 22",
"task 0, stage 0, rank from 49, rank to 48, color 12",
